text,perselisihan,infrastruktur,pemerintah,kesehatan,teknologi,administrasi,fasilitas,lingkungan,ketertiban,listrik,bahaya,lainnya,pungli,ilegal,lalulintas,bencana,air,pendidikan,kebersihan,sosial,wisata,sara,pencurian,korupsi,bbm,keuangan
assalamualaikum wr wb kepada pak gubernur jateng yang saya hormati selama ini di desa kami mempunyai tradisi membasmi hama tikus dengan memasang aliran listrik pln di sawah dan udah sering terjadi yang menyebabkan kematian seseorangmohon kiranya masyarakat di desa kami khususnya di desa merak kec dempet kab demak di berikan penyuluhan atau edukasi tentang bahayanya listrik dan kasus selama ini yg menyebabkan kematian seseorang yang sudah terjadi cukup di selesaikan dengan secara damai yg di manfaatkan oleh oknum oknum yang tak bertanggung jawab di jadikan objek bisnis tanpa ada pembelajaran efek jera kepada masyarakat dan aparat setempat maupun pemkab seakan akan tutup mata tanpa ada ketegasan dan tindakankalau kasus seperti ini di biarkan terus menerus di kemudian hari pasti akan ada banyak korban lagimohon kiranya untuk di tindak lanjutiterima kasih,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
saya ingin membuat akta kelahiran dan sudah sampai di kelurahan batursari mranggen demak tetapi pelayanan disana sangat tidak memuaskan dan perangkat kelurahannya datang jam 0900 padahal saya sudah menunggu dari jam 0800 ketika saya ingin membuat akta kelahiran saya malah ditawarin untuk diuruskan pihak kelurahan sebesar rp 200000 padahal kalau mengurus sendiri itu tidak kena biaya alias free,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
assalamuallaikum pakdi desa kuwu rt 11 kec dempet kabdemak telah di bangun usaha penggilingan padi di tengah kampung tanpa ijin dan sangat mengganggu wargakami sudah melapor ke perangkat desa dan ke polsek tapi tidak ada respon dan tindakankami hanya minta supaya ada nya tindakan dari pihak yg berwenang sebelum ada tindakan yg melanggar hukum terimakasih,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syaratsyarat untuk mengusulkan kipkis apa pakdan almat dinas sosial itu dimana kalau wilayah demakmakasih,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jalan rusak parah di kebon jaya raya kebonbatur mranggen demak,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
slmt siang paksy mengunduh formulir pengaduan subsidi listrik spt yg bpk sarankan n sdh sy bw kekecamatan mranggen disana hanya ditanda tangani n distempel camat ktnya mranggen blm bisa onlainkan jk begitu bgmn selanjutnya dr kuslianti,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
malam pak ganjarsya mau menympaikan sajablangko sidik jari untuk pembuatan skck di polres demak kata ptugas nya habisdan itu sdh brllngsung semingguapakah memang bnar sprti keadaanya apa memang tidak pakmohon bantuanya pakkrna kasihan yg dr jauh harus pulang bgtu sajatnpa kpstian yg jelas,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
selamat siangsaya warga dari dsmranak kecwonosalam kabdemakberdasarkan perda yg baru pemilihan carik dan perangkat desa dilaksanakan serentak dg sistem seleksites tertulis maupun wawancarasistem seleksinya ini yang harus mendapat pengawasan dari pusat mengingat kalau pengawasannya hanya dari kabupaten akan menghasilkan sistem seleksi formalitas bukan menghasilkan kualitas karena akan banyak permainanpunglimohon untuk diperhatikan pak,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
adek saya mendaftar calon sekdes sarat sudah lengkap di desa doreng demak di mintai uang 2juta rupiah oleh panitia nya katanya sudah wajib dari pusat apa,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
slmt siang kpd yg terh0rmat bpk gebenur mintk tolong pakjudi bola volly di di dalam stadion pancasila demak tlong di bubarkan mksh,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
bismillah ascum bpk gubernur bpk minta tolong di bantudi donaturi pembangunan masjid di desa sayayg lgi mulai pembangunanya masjid baitul muttaqin dkbogo reco klbogo sari kcguntur kbdemak semoga dgn ini ada donatur yg sudi ikut ber amal untuk pembangunan rumah allahdan saya ucapkan bnyk trima kasih buat bpk gubernurdan para donatur yg sudi ikut amal pembangunan masjid di desa kami,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
assijin bapak hr apakah imunisasi harus d puskesmas sesuai kecamatankenapa saya mau imunisasikan anak saya d puskesmas mranggen 2 d suruh untuk ke puskesmas sayung demakmemenga saya ikut kecmatan sayung tapi lebih dekat puskesmas mranggen 2 mohon petunjuksuwun,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ganefo tiap sore kok macet terus pakpolisinya mana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
selamat sore pak ganjar saya ingin melaporkan bahwa jalan smgpwd tepatnya di rel ka ganefo mranggen setiap hari terjadi macet parah hingga macet total ini dikarenakan jalan rel rusak banyak sepeda motor yang jatuh tergelincir saat melewati rel mohon perhatiannya terimakasih,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
yang terhormat bapak gubernur mohon bantuan dan tindakan untuk perbaikan jalan arah purwodadi tepatnya di rel mranggen bapak krn disini setiap harinya macet total kami setiap hari hrus antri minimal sejam hnya untuk melewati rel mohon untuk disampaikan ke kabupaten terkait bapak ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
bpak presiden bpk gubenur jateng dan bpak bupati demak tolong warga dukuh timbul sloko desa timbul sloko sayung dmak yg membutuhkan jalan untk beraktifitas jalan satu2y hanya 12m sdah kena rob dan miring kalau tdk percaya bpk datang saja ke dukuh kami belakang dukuh dempet desa tugu dan meknimati banjir rob tiap hri  trims,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lapor gan pemkot demak kok enak pakai mobil dinas mewah ada puluhan di kantor pendopombok uang itu buat bngun jln desa sms gratis smsaein,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
saya mengirim kesms jateng08112920200 assalamualaikum wr wbsaya maufahdari desa sidogemah kec sayung kabdemakmau lapor pak gubernur di desa saya jalan nya rusak parahcuma padaspadahal jalan utama desadekat jalan raya pantura tolong di perbaiki pakudah bertahun2 jaln ya rusak ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
selamat pagi pal ganjarlaporpdam kota demak dari kemarin matikami sebagai masyarakat demak sangat kecewa dengan pelayanan pdam kota demakkalau semisalkan ada kebocoran pipa tolong segera di perbaiki pada hari itu juga jangam sampai berharihari itu namanya mengecewakan masyarakattolong kinerja dan profesionalismenya pegawai pdam lebih di tingkatkan lagipelayanan pdam demak juga lebih di tingkatkan lagikami masyarakat demk sudah disiplin bayar tepat waktu tapi selalu di kecewakan dengan service pdamtolong di tindak lanjuti pakterima kasih,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
assalamualaikum wr wb kepada yang terhormat bpk ganjarnama saya miftah nursaya dari demakkami ingin nyampaikan aspirasi kamidi salah satu desatepatnya di desa gadong kecamatan sayungkabdemakanak2 yg ingin berangkat sekolah harus melewati jembatan yg rubuhkarna jembatan tersebut adalah jalan utama menuju sekolahtetapi jembatan tersebut telah rubuhdan mau tidak mau anak2 harus melewati jembatan tersebut alangkah bahayanya ketika melewati jembatan tersebutkarna bisa saja sewaktu waktu air naik dan membahayakan anak2 tersebutkami harap laporan ini di tindak lanjutidan untuk segera mungkin di bangunkan jembatan untuk akses anak2 untuk ke sekolah dan juga warga sekitartrimakasihwassalamualaikum wr wb,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ass pak ganjar mohon di sepanjang jalan pucang peni raya arah tvri dan jl sarwo edi perumnad pucang gading di lingkungan sdsmpsma n 3 mranggen banyak lapak pedagang mohon utk bisa di tertibkan kelihatan kumuh lapangan dan sekolahan tdk kelihatan wass,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sugeng sonten pak gubernur yang sangat saya hormati saya mau melaporkan perihal tetangga saya yang membuat saya tidak nyaman berada di rumah kedua tetangga saya memiliki sound sistem yg melewati batas ukuran untuk di bunyikan setiap hari dari pukul 6 pagi  12 siang sampai menjelang maghribjika rumahnya jauh gpp buat sayatapi ini persis di blkg rumah dan samping saya saya pribadi 3 tahun hidup di desa ini sangat terganggu bila di tegur malah semakin menjadi bahkan dari pihak rtrw dan lurah pun tidak berani menegurpadahal tetangga saya itu pekerjaanya mengemis  saya yg kerja memeras otak tiap hari sampai sangat terganggu dengan kondisi ini apalagi saya juga mempunyai bayi yg baru umur 5â½ bulanmohon bapak gubernur menindak lanjuti perihal kenyamanan bertetangga karangsono ploso rt07rw03 mranggen  demak,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pak ganjarsekolah kami habis terkena banjir akibatnya sekolah kami tdk mempunyai buku untuk bahan bacaan diperpustakaandengan ini kami mohon bantuan buku buku bacaan untuk menunjang aktivitas siswa kami mts sapp hidayatul quran ngepreh sayung demak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
pak ganjar saya warga semarangperiksa di puskesmas sayung apa bisa di layani bayar atau gratis suwon,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kami mengalami darurat air bersih di kab demak desa betah walang kec bonang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
selamat malam bapak gubernur saya minta tolong pak di area kebonbatur mranggen setiap malam setiap hari selalu ada bau asap dan itu sangat mengganggu kata warga sekitar sumbernya dari tpa rowosari mohon untuk ditindak lanjuti pak terima kasih atas perhatiannya,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ass pak gub lapak pedagang di jalan pucang gading raya mohon utk di tertibkan karena sangat kumuh wass,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pak gub kami yang hidup di pinggiran seperti kebon batur mranggen kapan bisa menikmati internet kabel seperti indihome selalu saja sulit dengan alasan kurang peminat lah kalau tidak ada jaringannya gimana ada peminatnya matur nuwun pak,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
assalamualaikum cuma saran buat pdam kota demak  sekiranya pembayaran bisa dibuat online untuk memudahkan kita yang desanya jauh dari tempat pembayaran,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
maaf pak sekolah kami tidak punya wc adakah dana hibah pakkarna kami dari madrasah tingkat mi kalau ada mohon dibantu untuk pembangunan wc saja pak trmksh salam dr jajaran mi matsmarotul huda kec bonang kab demak penggemar pak ganjar,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
tolong perhatianya pak gub pasar sayung memperhatinkan di musim penghujan jalan berlumpur,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mf sebelumnya buat pak ganjarpak saya mau mengajukan bantuan buat anak saya pak dari kelas 1 sampai kelas 3 kelas dasar kok gak pernah dapat bantuan sama sekali dari sekolahanak saya sekolah di sdn rimbu kidul 2 atas nama abdullah putra aditya fateh dan abdullah priya aditya fateh ini anaknya kembar pak ganjar ini no kknya pak 3321020708060043 mohon kebijakan buat bapak untuk membantu sayatrima kasih pak,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kenapa dlm pembuatan ektphany daerah demak saja yg hrs dtg k dispenduksedangkan yg lain tidak,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mohon maaf saya kurang paham aturan di daerah demak kecamatan wonosalam kemarin bapak saya mau mengurus surat keterangan warisan ke kecamatan wonosalam demak nah apakah dibetulkan kita harus membayar jutaan rupiah untuk mendapatkan surat tersebut mohon pencerahannya rencananya saya mau mengantar bapak saya kesana mau dengar langsung dan rencana mau saya rekam terimaksih bapakku ganjar nyuwun tulung tiyang alit sik ajeng ngurus waria pak,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tolong paraktek suapuang pelicin yang dilakukan oknum petugas di kantor pengadilan kab demak di tindak lanjuti pak sungguh sangat meresagkan masyarakat yg gx mampu singkat cerita kemarin adik ipar saya ada masalah dengan data paspor nya terus minta di rubah data paspornya setelah semua persyaratan data terpenuhi tiba hari h sidang keputusan sebelum sidang adik ipar saya di samperin petugas kalau mau permohonannya d kabulkan dia dimintai uang 3 juta rupiah sama okmun petugas itu trus adek ipar saya menolak karena tidak punya uang dan akhirnya permohanan adek ipar saya ditolak mohon dengan sangat,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
lapor pak ganjar pembayaran pdam kota demak belum bisa online kasihan ibu2 bapak2 yang antri panjang sekali kalo dibayar online mereka bisa bayar dimana aja tolong disidak pak pegawai pdam demak kenapa pegawainya gk mau menerapkan pembayaran online apa karena takut tidak bisa di korupsi ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
jalan rusak parah di desa rejosari kecmijen kab demakkarena kurangnya perhatian oknum2 desatolong di sidak secepatnya pak ganjardikawatirkan praktek korupsi dana desa puluhan tahun trimakasih,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
tolong pikirkan wilayah kami sayung demak yang terkena rob air pasang pak ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
untuk wilayang demak tolong tambah tempat wisatanya pak yg sudah ada di perbaiki dan yg belum ada tolong di buatkan,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nuwun sewu pak ganjarpranowo tolong jalan pantura sayung demak tolong di perbaiki pak tiap hari kalo pas musim ujan banjir terus dan jalannya banyak jeglongan nya banyak sudah pengendara motor yg terjatuh gara2 kejegglong pak matur suwun pak ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jalan pantura demak km 09 di daerah sayung berlubang parah pak pagi ini uda ada truk guling gegara lubang pak tolong segera di atasi sebelum ada korban lagi suwun gubernurhebatku,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sugeng ndalu pak mohon maaf lancang ngeh pak ten mriki kulo badhe ngutaraaken uneg2e kulo tentang kondisi jalan pantura semarang demak khusus didaerah depan pt polytron sayung demak yg mengarah ke demak karena jalan sudah tidak layak lagi setiap ada rob dan hujan pasti banjir dan setelah itu berlobang yg sangat dalam hingga menimbulkan kecelakaan dan macet setiap harinya mohon untuk segera diperbaiki dan ditinggikan agar tidak terjadi kecelakaan lagi dan lagi nyuwun lepate kulo yen kulo lancang ngeh pak matur suwun,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pak mhon jalan pantura mulai sayung arteri demak arah kudus bnayak yg berlubang mhon ditindaklanjuti krna berbhaya skli lubang nya bsar terimakasih,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kapan ke guntur demak pk msih banyak jalan yg rusak di daerah bpk gk usah jauh2pk swun,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tolong pak gubernur utuk desa mranak kecamatan wonosalam kab demak utuk dinas terkait pelayanan msarakat di desa mranak tidak memuaskan banyak perangkat desa telat msuk kantor mlah memetingkan kpentingan pribadi sndri tolobg di sidak dan di tindak tegas karna mash bnyak yg mau jdi perangkat desa yg lebh prefesonal,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pak camat mijen malah motong gaji pegawai honorer separo pak mohon ditindak suwun,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ganjarpranowo paklapor jalan di rel ganefomranggen demak itu ud rusak paksering buat macet panjang dan membahayakanbanyak motor yg selip dan jatuh di lubang dkt relmohon di croschek pak gubsuwun ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pak masalah ktp elektronik di demak masih banyak yang mengeluhkan karena susah dan lama jadinya,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
selamat malam pak saya mau lapor daerah saya sering mati listrik ini sudah 3 malam berturut turut  mati lampu dari jam 7 malam dan ini musim uts anak sekolah daerah batursari mranggen demak rt 02 rw 20 tidak semua listrik padam sederet kompleks saya dan belakang komplek saya setiap hari saya nelpon pln 123 belum ada penjelasan resmi dari pln kenapa mati listrik tidak merata hampir setiap hari mohon bantuan untuk mengatasi masalah ini pak nomor laporan saya ke pln 123 malam ini pukul 1930 adalah r15jqil terimakasih pak,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kpan ke kec guntur pk jalan yg menghubungkan kec guntur ke kec gubug purwodadi rusak parah pk tepat nya desa guntur kec gintur kab demak bah kan kalau hujan gak bisa di lewati swun pk mohon perhatian nya dan mohon maaf pk sebelum nya,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pak jalan alternatif mranggen onggorawe rusak parah banyak truk2 lewat situ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
selamat sore pak ganjar saya fuad dari demak hanya mau melaporkan bahwa dinas dukcapil kab demak pelayanan sangat buruk sekali dan tidak profesional no antrian aja ga jelas dan sangat semprawut coba bapak sekali sidak mendadak terimakasih,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
betul pk gubernur tapi ganefo mranggen itu mecet terus itu gimana solusinya termasuk depan pasar mranggen semrawut mohon solusinya pk gub matur nuwun,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miris lhuirrtepat nya di dukuh pragi desa guntur kab demakkok masih ada jalan seperti kolam lele ysemoga sehabis postingan ku inibisa lebih cepat terealisasi lhuur,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
assalamualaikum pak ganjar jalan di desa karangsari yg dibawah tanggul kali tuntang adalah akses utama menuju desa rejosari dan wonoagung mohon untuk segera dilanjutkan karena hanya kurang 300 meter saja akan bisa menjadi akses utama menuju pasar buyaran apabila jalan itu sudah jadi akan sangat bermanfaat di semua bidang terutama akan menumbuhkan perekonomian dan usaha usaha baru mohon untuk disegerakanğŸ™ğŸ™,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ganjarpranowo istri sy ngajar di kab demak gaji 300rbbln dulu sebelum bupatinya baru masih ada honor daerah begitu bupatinya skrg honor daerah hilang ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jalan dukuh pojok desa jragung keckarangawen kabdemak hancur pak ganjar pranowo,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pak ganjarpranowo usul saransebaiknya pelayanan cek fisik di samsat demak diberi nomor antriansehingga yg dilayani tidak cek motor yg sudah diantrikan dekat pelayanan cek fisikpadahal datangnya sianglha kl mobil apa ya mau suk suk an antri cek fisik dengan motorkl pakai nomor antrian lbh nyamanlebih tertibjd yg sudah datang pagi tetap dilayani pagi polresdemak,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bencana banjir kamis 040419 banjir datang jam 2200 sabtu pagi air surutmalam ini air datang lagi mohon saran  pencerahan dari bapak2 yg berwenang  dinas terkait solusi yg terbaik buat kami desa ploso kauman rt 03 03 kec karang tengah demak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
pak ganjar  pranowo jln alternatif mranggenjamus banyak yg berlubang dan rusak parah klau hujan jlnnya licin sehingga ada orang lewat di jln itu sampai jatuh  mohon segera diperbaiki jln alternatif mranggen jamus  jln alternatif mranggen jamus rusak nya udh lama banget gk diperbaiki sehingga ada masyarakat yg menggeluh jln itu rusak parah ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
masih ingat dengan desa rejosari kecmijen kabdemak pak yg prnah bpk kunjungi saat jembatanny putussaya heran ini tahun 2019 kog msih ada desa yg jalanny krikil sprti itusdgkan desa lain udh beton smwapa ada yg main anggaran jln buat desa rejosari fotonya nyusul klo mudik,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jalan disekitar lapangan bola di ds kebon peni kelkebon batur kecmatan mranggen rusak parah pak saluran pembuangan rusak mohon disidak lokasinya,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jaln desa babalan pak tolong di tinjau  parah buanget dan ga pantas klu dibsebut jalan,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ganjarpranowo sugeng enjang pak sesuai dg hasil jepretan saya di message ig bpk di jln raya sayung air rob sdh mulai meluber di jln raya bpk bisa cek bila bpk lewat di daerah tsbterutama menjelang sore mohon pak dibantu segera tanggulangi kita san,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
bapak gubernur yg terhormat  mf bpak saya dr kaum alit demak yg bertepatan d ds tmbk polo kecbonang pak mhon bapak mndengarkan jeritan dr kita d dsa kami mobil blm bs masuk pak mohon solusi nya pak yg mnjd rintahan jeritan masarakat kami klw ada orang sakit orang hamil gak bs bawa mobil pak bnyak yg d tngh jalan lahir duluan kadang ada yg mninggal krn mengingat hanya naik speda montor mf pak,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pak saya mau beri masukan saya lewat rel kereta api di desa brumbung kecamatan mranggen kabupaten demak kok ada tukang sebrang yang menjengkelkan ya saya lewat malah di tahan dan di tendang kaki saya tolong bersihkan orangorang seperti itu pak,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
