bulan,no_laporan,kelurahan,kategori,pengaduan,tgl_pengaduan,waktu_pengaduan,tgl_disposisi,waktu_disposisi,tgl_selesai,tgl_target_selesai,keterangan
01,120902,GROGOL,Kelurahan,Sy istri PPSU kantor lurah grogol ,2016-12-30,11:13:25,2016-12-30,11:48:25,2017-01-09,2017-01-09,
01,120912,GROGOL,Kelurahan,Sy mhon bantuannya pak untuk cek ulang kelurahan grogol..trima ksih,2016-12-30,11:34:53,2016-12-30,11:48:25,2017-01-09,2017-01-09,
01,120908,GROGOL,Kelurahan,Sy mau k`adilan untuk suami sy...knp suami sy yg krjanya sdh mengikuti sesuai prosedur PPSU tdk di prpnjng kntrak krjanya..,2016-12-30,11:29:29,2016-12-30,11:48:25,2017-01-09,2017-01-09,Pengumuman hasil akhir penerimaan PPSU Kel. Grogol
01,120910,GROGOL,Kelurahan,Ada apa di kantor lurah grogol di balik smua ini...???,2016-12-30,11:30:02,2016-12-30,11:49:24,2017-01-09,2017-01-09,
01,120907,GROGOL,Kelurahan,Sdangkan org yg mlas.. umur sdh di ats 50 th..pmakai narkoba & tdk prnah trun k`lapangan untk krja sbg PPSU mlah pd  di kontrak krjanya,2016-12-30,11:29:29,2016-12-30,11:49:24,2017-01-09,2017-01-09,Pergub No.249 Tahun 2016  
01,120919,GROGOL,Lain-lain,Dlm hal pekerjaan...tp koq hsilnya mlah sprti ini...& bnyak data yg tdk sesuai sprti kryawan tercantum sbg PPSU tp knyataannya hnya s`org OB ,2016-12-30,11:56:33,2016-12-30,11:58:24,2017-01-09,2017-01-09,Pergub Nomor 6 Tahun 2016 Lamp. II Bab. IV point 7 
01,120917,GROGOL,Lain-lain,Sm2 pak..sy hrap dpt k`ptusan yg adil..sebab yg tdk di perpnjang kntrak krjanya sbg PPSU itu team yg trbilang rajin & team yg slalu trpakai dgn lurahnya ,2016-12-30,11:54:20,2016-12-30,11:58:24,2017-01-09,2017-01-09,"Tes Administrasi, Wawancara dan Tes Lapangan"
01,120828,KEDOYA SELATAN,Lain-lain,"Selaamat malam Pak Ahok, saya mau lapor tentang pembuatan KTP di Kelurahan Kedoya Selatan, ternyata sampai saat ini masih blm tersedia formulir KTP. Aehingga pembuatan KTP terhambat. Mohon dibantu untuk kelancarannya. Terimakasih",2016-12-29,22:32:37,2016-12-30,10:31:37,2017-01-09,2017-08-01,"Setelah berkoordinasi dengan Kasatpel Dukcapil Kelurahan Kedoya Selatan & menelpon pelapor untuk mengetahui detail permasalahannya, diperoleh keterangan bahwa pelapor belum membuat pindah datang ke Kelurahan & melakukan perubahan alamat di KTP El dikarenakan kekosongan blanko. Oleh karena itu ybs diminta untuk segera membuat surat pindah datang & melakukan perubahan alamat.  Untuk pencetakan KTP elektronik menunggu ketersediaan blanko dari Kemendagri."
01,99519,JEMBATAN BESI,Lain-lain,"Selamat malam pak ahok,ini mau sampaikan sy sngat kecewa,dari awal jd wakil gubernur smapai jd gubernur,minta tolong jembatan besi pintu kereta api situ bikin jmbt 1lg,tdk di bikin2 bertapa menderitany rakyat tiap pagi sore nglami macet berjam2 apa lg ketemu wktny jam2 kereta,bnyk jurusan mau lewat jmbt itu,& itu depan sc itu jln semua..buat pakir motor ampe penuh itu jln. mobil jg gerobak penuh motor penuh ampun,pagi2 itu mobil sampah mauny pas tikungan susah kl mau lewat,daera krendang got2ny bersih tp di jbt besi hanya pigil jln saja,gang2nya penuh sampah,demikian lah info kami selamat mlm cia ju GBU",2016-09-30,22:38:52,2016-12-30,10:46:43,2017-01-09,2016-12-15,Tindak lanjut Penertiban Pembuatan tambang pembatas
01,86913,KELAPA DUA,Lain-lain,"Dear pa Gubernur, tembok pemda DKI yg dibangun asal jadi roboh tadi malam, kami tidak tahu harus mengadu kemana lagi
RW 07 Kelapa Dua, Kebon Jeruk, Jakarta Barat",2016-08-28,7:01:46,2016-12-30,11:05:17,2017-01-09,2016-08-31,"dilakukan pada saat kejadian yaitu malam hari (Sabtu Malam Minggu Tgl. 27-08-2016) ketika terjadi tembok roboh di RW 07 Villa Kelapa Dua pengecekan dan pembersihan puing pada saat hari minggu, 28-08-2016 sekalian kerja bakti di hadiri oleh Camat Kebon Jeruk, Kasudin Pertamanan dan Wakil Walikota Jakarata Barat. (Pembersihan dilakukan oleh  PPSU, PHL Pertamanan dan PHL Kebersihan dengan menggunakan Truk Dinas Kebersihan Jakarta Barat) itutup sementara dengan seng oleh swadaya masyarakat "
01,102499,MANGGA BESAR,Lain-lain,"Selamat siang pak.
saya andrius anggota ppsu mangga besar.
tolong pak tindak anggota ppsu di kelurahan kami mangga besar yang kerjaannya tidur dijam kerja,main hp dijam kerja pulang kerumah dijam kerja datang seenaknya mau jam berapapun karena saya mengadu pun tak pernah didengar pak oleh pejabatnya.trims",2016-07-10,14:56:41,2016-12-30,11:41:40,2017-01-09,2017-01-02,"Sesuai dengan laporan masyarakat a.n andrius mengenai adanya tidak disiplin PPSU maka dengan ini saya melaporkan bahwa a.n andrius sebagai pekerja PPSU di Kel.Mangga Besar yang memiliki kinerja sebagai PPSU yang tidak memenuhi kriteria tidak disiplin dan tidak menaati peraturan yang telah ditetapkan dan sudah diberhentikan dengan tidak hormat akibat pekerjaannya tidak memiliki kedisiplinan sebagai PPSU di Kel.Mangga Besar adapun pekerja PPSU yang lainnya memiliki tanggungjawab dan disipilin dan terus kami lakukan pembinan yang dilaksanakan oleh Lurah, Sekkel, kasi dan staf Kelurahan Mangga Besar"
01,121887,TANJUNG DUREN SELATAN,Kelurahan,"Pak Ahok, 4 januari jam 9 pagi. Hari ini di kelurahan tjg duren selatan, petugas di meja ada 3 orang ( 2 wanita 1 pria) tapi yg bekerja hanya 1 pria. 2 wanita sebagai penonton. Tolong ditangani. Terimakasih",2017-04-01,9:41:45,2017-04-01,9:45:01,,2017-01-14,memang betul ada 3 orang ( 2 orang wanita dan 1 orang pria ) yang wanita merupakan pelajar yang sedang PKL dari sekolah Al-Khasanah untuk membantu bagian PTSP namun tidak diperbolehkan melayani. Dan untuk 1 orang pria merupakan PHL PTSP sehingga hanya pria tersebut yang diperbolehkan melayani permohonan yang diajukan masyarakat. sementara Kasatlak Dukcapil dan Kasatlak PTSP beserta dengan stafnya sedang rapat (breafing) di lantai 2 Aula Kantor Kelurahan Tanjung Duren Selatan yang dipimpin oleh Lurah Tanjung Duren Selatan. pembahasan rapat tersebut adalah untuk lebih di tingkatkanya pelayanan terhadap masyarakat baik pelayan yang melalui loket PTSP ataupun pelayan dalam cepat respon menindak lanjuti qlue dan keluhan masyarakat yang memang harus kita tindak lanjuti.
01,121890,TANJUNG DUREN SELATAN,Kelurahan,"1 lagi Pak, krn ektp saya belum jadi,saya minta surat keterangan, tetapi saya diminta balik lagi : karena Lurah belum ttd(fadtheland Mustofa) sedang meeeting dan saya dminta kembali lg. Bener2 pelayanan yg tdk baik yang dapat. Tolong bantu pak. Kredibilitas jadi turun nanti karena hal ini",2017-04-01,9:50:36,2017-04-01,9:56:25,,2017-01-14,"pada saat yang bersamaan Lurah Tanjung Duren Selatan memang sedang memimpin rapat (breafing) yang dihadiri para kasi, Kasatlak Dukcapil, Kasatlak PTSP dan para staf, terkait dengan adanya Pejabat yang baru ditempatkan di Kelurahan Tanjung Duren Selatan.  tetapi setelah breafing semua pemohon langsung dilayani dan ditanda tangani. point rapat yang disampaikan yaitu untuk lebih di tingkatkanya pelayanan terhadap masyarakat baik pelayan yang melalui loket PTSP ataupun pelayan dalam cepat respon menindak lanjuti qlue dan keluhan masyarakat yang memang harus kita tindak lanjuti."
01,121850,DURI KOSAMBI,Lain-lain,SELAMAT PAGI .KAMI WARGA PERUM KOSAMBI BARU .KECAMATAN CENGKARENG .KELURAHAN KOSAMBI .DGN INI MAU MELAPORKAN BAHWA DI JL KOSAMBI TIMUR RAYA ADA PEMOTONGAN AYAM YG SANGAT KUMUH .BAU.KOTOR DAN BERISIK .KAMI SUDAH PERNAH MELAPORKAN MASALAH INI KE INSTANSI YG BERWENANG DI DAERAH INI TAPI TIDAK MEMPAN KARENA BOSS INI BEKINGANNYA KUAT DAN TUKANG PUKULNYA BANYAK .MOHON BANTUAN BAPAK UNTUK MENINDAKINYA .TERIMA KASIH ATAS PERHATIANNYA DAN MOHON MAKLUM ADANYA .,2017-04-01,7:16:14,2017-04-01,13:08:44,2017-01-14,2017-01-10,"Kelurahan mengundang pemilik tempat pemilik pemotongan ayam pada acara pembahasan yang dilaksanakan pada tanggal 10 Januari 2017  dihadiri oleh perwakilan dari Sudin KPKP Jakarta Barat, Sekcam Cengkareng, Babinsa, Ketua RW.01,09, Ketua RT.002/01 dan Pemilik Pemotongan Ayam Sdr. Anggit, setelah melakukan pembahasan tim mensurvey lokasi pemotongan ayam dan memang benar terdapat tempat pemotongan ayam"
01,119597,TAMBORA,Lain-lain,"slmt pagi bp Ahok,
sy Awie mau menyampaikan keberatan akan peraturan UUPD Jakbar, yg mengharuskan KTP di pindah alamat`a dlm pengajuan AJB n BPHTB nihil rusun SeasonCity, tolong dibantu agar saya tdk dipersulit, n saya mau tanya apakah dibenarkan peraturan daerah tsb, terima kasih..",2016-12-19,12:40:59,2017-04-01,10:03:56,2017-01-14,,Hasil Klarifikasi dengan sdr awie diketahui bahwa pengurusan pengajuan pembebasan 100% atas BPHTB Apartemen Season City melalui Notaris Benny Djaja SH b. dengan Notaris Benny Djaja SH diketahui bahwa bahwa berkas Sdr Awie masih berada di Notaris PPAT tersebut
01,120245,ROA MALAKA,Kelurahan,Mlm pa gubernur sony. Mhn diaudit dana penguatan atau DAS DI  kel Roa Malaka di indikasikan telah terjadi penyimpangan yg dilakukan  lurah roa malaka TRIMS,2016-12-21,18:56:25,2016-12-29,9:42:25,2017-01-08,2017-04-01,Konfirmasi
01,122148,CENGKARENG TIMUR,RT/RW,Selamat siang pak..sya dari warga komp Green court d wiayah cengkareng timur sangat mengeluh untuk pelayanan RT nya yaitu RT 05/014.karna sering membuat ktp warga tidak ad yg jdi..dn d mntain duit yg cukup besar..,2017-01-05,2:11:28,2017-01-20,11:47:34,2017-01-30,2017-01-24,Memberikan surat teguran keras kepada Ketua Rt. 005/014 Kelurahan Cengkareng Timur
01,122234,TANGERANG,RT/RW,"Siang Pak.sy bu Lanny.mau lapor.kalo sy mau urus buat kk dan ktp bru daerah kresek raya.dipersulit rt mt kalo dia urus 2 bln an.biaya 750ribu.jk cpt 1,5 jt.sy pindahan dr Bsd.srt2 sdh komplit.urus sendiri mt srt pengantar 100ribu.info ny seperti itu.trm ksh .",2017-05-01,20:10:10,2017-01-20,11:38:39,2017-01-30,2017-01-30,Sudah ditindaklanjuti
02,124108,KOTA BAMBU UTARA,Banjir,Pak AHOK KAMI WARGA KELURAHAN KOTA BAMBU UTARA RT 002/04 MOHON TOLONG DITINDAK LANJUTI MASALAH BANJIR DITEMPAT KAMI SALURAN AIRNYA SUDAH BERTAHUN2 TIDAK DIKEDUK SUDAH HAMPIR RATA SAMA JALANAN KAMI MOHON PAK SEKALI LAGI BIAR APARAT TERKAIT MEMPERHATIKANNYA TERIMAKASIH SEBELUMNYA.,2017-01-22,18:28:29,2017-01-23,10:50:07,2017-02-02,2017-01-25,PENGURASAN SALURAN DARI LUMPUR OLEH PETUGAS PPSU 
02,105630,SUKU DINAS PENATAAN KOTA ADMINISTRASI JAKARTA BARAT,Lain-lain,"Mohon perhatiannya, di Lippomal Puri, kecamatan Kembangan, Jakarta Barat, ada tertera papan merah bertuliskan bangunan DISEGEL. Namun mal tetap beroperasi normal. Mohon perhatian dan check ulang dari pihak serta dinas terkait. Tegakkan peraturan. Jangan tebang pilih atau pilih kasih. Terima kasih",2016-10-15,15:55:21,2017-01-23,11:00:43,2017-02-02,2017-02-22,SURAT PERINGATAN
02,105839,PEGADUNGAN,Lain-lain,"Mohon perhatiannya dari dinas terkait. 2 hari ini ada pekerjaan penanaman kabel optik atau kabel PLN (tidak ada papan pekerjaan di lokasi) di jalan Peta Barat, kelurahan Pegadungan, kecamatan Kalideres, Jakarta Barat. Trotoar dibongkar lalu tidak dirapihkan kembali namun hanya dikerjakan seadanya oleh kontraktor.
Mohon dapat ditindaklanjuti oleh pihak kelurahan setempat. Terima kasih",2016-10-17,7:36:06,2017-01-23,11:00:43,2017-02-02,2017-02-02,tinjau lokasi
02,105841,JATIPULO,Lain-lain,"Mohon perhatiannya dari pihak terkait. Jalan Kamboja menuju arah jalan Tomang Raya di kelurahan Tomang, Jakarta Barat, kondisinya menyempit setelah dilakukan betonisasi karena trotoar dan median bahu jalan tidak dirapihkan. Mobil parkir sembarangan di pinggir jalan dan pejalan kaki tidak mendapat trotoar yang aman. Jalanan menjadi macet dan sempit.
Mohon perhatian dinas dan kelurahan terkait. 
Terima kasih.",2016-10-17,7:38:16,2017-01-23,11:00:43,2017-02-02,2017-01-02,Dilakukan penertiban terhadap PKL disekitar lokasi yang menggunakan badan jalan dan barikade badan jalan supaya tidak digunakan untuk parkir liar. Lokasi tempat dilakukan penindakan dan pengusiran adalah berdasarkan ASUMSI karena pelapor tidak bisa dimintai keterangan melalui nomor telpon tercantum
02,124124,DURI KOSAMBI,Kelurahan,"Malam pak ahok...sy mau laporkan didaerah kami kembangan selatan puri indah, sebelah gerbang aprtment puri mansion, ada tempat pgolahan tinja yg sudah 20th berada dsana. Hal ini bs mcemarkan lingkungan,air & kesehatan wrga. Karna tempat padat pemukiman. Tlg dbantu utk diatasi ya pak..terima kasih atas perhatian bpk. Salam 2jari..",2017-01-22,22:18:01,2017-01-23,11:16:45,2017-02-02,2017-02-03,SUDAH SELESAI DI TL
02,122831,TANJUNG DUREN UTARA,Sampah,"Pak Plt, kali di tanjung duren sampahnya dah banyak lagi. Pasukan orange tolong dikerahkan dong.",2017-01-09,3:01:11,2017-01-23,1:19:05,2017-02-02,2017-01-26,SUDAH SELESAI DI TL
02,123253,JELAMBAR,PKL liar,Yth.Bpk/ibu ada pkl diatas saluran air di samping masjid al mukhlisin jelambar borobudur.tolong di teribkan dong,2016-12-21,18:56:25,2016-12-29,9:42:25,2017-01-08,2017-04-01,Menindak lanjuti laporan pengaduan Kami sudah melakukan penertiban  
02,122040,ROA MALAKA,Kelurahan,Mulyanto pa warga roa malaka. Kenapa sekretaris kelurahan tidak dirotasi pa. Padahal tidak lulus lelang jabatan nilai nya cuma 25 ,2017-04-01,19:17:34,2017-01-25,12:47:08,2017-02-04,2017-01-26,SK Jabatan Sekretaris Lurah dan Lampiran Pengumuman Sekretaris Daerah Provinsi DKI Jakarta Selaku Ketua Panitia Uji Kompetensi Jabatan Calon Camat dan Calon Lurah Nomor 09 Tahun 2016 Tanggal 8 Juni 2016
02,122064,UPPD TAMBORA JAKARTA BARAT,Lain-lain,"slmt pagi bp Ahok,
sy Awie mau menyampaikan keberatan akan peraturan UUPD Jakbar, yg mengharuskan bikin KTP baru yg alamat`a = alamat rusun dlm pengajuan AJB n BPHTB nihil rusun SeasonCity, padahal berdomisili di kecamatan yg sama yaitu Tambora, tolong dibantu agar saya tdk dipersulit, n saya mau tanya apakah benar n tdk meng-ada2 UUPD tsb, tolong diberi jawaban segera, urgent, terima kasih..",2016-12-19,12:40:59,2017-04-01,10:03:56,2017-01-14,2017-01-14,HASIL KLARIFIKASI  a.dengan sdr awie diketahui bahwa pengurusan pengajuan pembebasan 100 % atas BPHTB Apartemen Season City melalui Notaris Benny Djaja SH b. dengan Notaris Benny Djaja SH diketahui bahwa bahwa berkas Sdr Awie masih berada di Notaris PPAT tersebut
02,122169,UPPD TAMBORA JAKARTA BARAT,Lain-lain,"UUPD Tambora, Jakarta Barat.",2017-05-01,16:01:49,2017-01-26,10:26:38,2017-01-14,2017-02-05,SUDAH SELESAI DI TL
02,122105,PINANGSIA,Sampah,"Sehubungan dgn masalah sampah rumah tangga di lingkungan rmh tinggal warga yg tdk diangkut, terletak di Rt 04, 05, 06 & 07, Rw 02, Kel. Pinangsia, Kec. Tamansari. Hal ini sdh sering terjadi sejak Bp cuti.",2017-05-01,10:15:38,2017-01-26,10:35:56,2017-01-30,2017-02-05,sampah rumah tangga tidak terangkut dikarenakan petugas sampah RW berhenti bekerja dan saat ini sedang dilakukan perekrutan kembali untuk petugas sampah baru dan sampah yang ada saat ini sudah ditangani oleh PPSU dan Dinas Lingkungan Hidup
02,118603,CENGKARENG TIMUR,Lain-lain,PAK AHOK SY ROBIN. DI MUTIARA TAMAN PALEM SAMPAI H NI TDK DPT UNDANGAN PEMILU BANYAK YG SM JG. KEL.CENGKARENG TIMUR SY TAKUT KEHILANGAN BANYAK SUARA BAPAK.TRIMS,2016-12-09,9:16:24,2017-01-26,,2017-01-27,2017-02-05,sudah di koordinasikan dengan PPS Kel. Cengkareng Timur Bahwa Surat Undangan Pemilu diberikan pada H -6 s/d H-3
02,122152,CENGKARENG ,RT/RW,Kami atas nama warga cengkareng rt05/14...sangat kecewa dngan pelayanan dn sikap rt 05/14..yg cara krja nya tdak brtanggung jwab,2017-05-01,14:19:34,2017-01-26,10:57:26,2017-02-05,,SUDAH SELESAI DI TL
02,122336,ROA MALAKA,RT/RW,Mlm pa. Di kel roa malaka terdapat Ketua rt yg  tidak bertempat tinggal diwilayah dan pemilihan rt tanpa pemilihan akan tetapi. di tunjuk oleh Sekretaris Kelurahan MHN DIkoreksi krn menyalahi aturan dan berkaitan dengan APBD 2017 TERIMA KASIH ,2017-06-01,5:17:43,2017-01-26,12:32:11,2015-01-26,2017-02-05,Klatifikasi
02,124698,KEMANGGISAN,Kelurahan,"Pagi pak, bisa minta bantuan utk proses e-ktp saya di kelurahan : kemanggisan kecamatan : Palmerah ? Saya sdh pindah ke kemanggisan hampir 5 tahun yg lalu dari daerah setiabudi... Saat ini saya belum mendapatkan e-ktp, sudah bolak-balik ke kelurahan? - Adi",2017-01-26,15:44:41,2017-01-27,11:03:22,2017-01-30,2017-02-06,Setelah dihubungi yang bersangkutan (a.n MADRADI) dengan NIK .3174022808770005 belum pernah membuat pengajuan E KTP di kelurahan Kemanggisan
02,124845,PINANGSIA,Sampah,"Siang Pak Ahok, salam damai sejahtera, saya mau info: sehubungan dgn masalah sampah rumah tangga di lingkungan rmh tinggal warga yg tdk diangkut sudah 4 hari, tepatnya di Gang Pondok Tuak Satu Rt 05, 06 & 07, Rw 02, Kelurahan Pinangsia, Kec. Tamansari. Hal ini sdh sering terjadi sejak Bapak cuti.",2017-05-01,10:15:38,2017-01-26,10:35:56,2017-01-30,2017-02-05,sampah rumah tangga tidak terangkut dikarenakan petugas sampah RW berhenti bekerja dan saat ini sedang dilakukan perekrutan kembali untuk petugas sampah baru dan sampah yang ada saat ini sudah ditangani oleh PPSU dan Dinas Lingkungan Hidup
02,124982,JOGLO,Kelurahan,"Selamat Malam. Saya warga komplek dki joglo blok E rt 11 rw 4 jakarta barat 11640. Mau melaporkan atas tindakan ketidaknyamanan di blok e bawah dlm bentuk panggung dangdut / suara sound speaker dg kapasitas suara sangat besar. Sehingga mengganggu saya dan keluarga. Lokasi blok e bawah. Kejadian setiap malam minggu dan terkadang hari lain. Mohon tindakannya,trm ksh.",2017-01-28,21:04:17,2017-01-30,10:15:06,2017-02-03,2017-02-09,Lokasi Rt.011 Rw. 04 taman komplek Joglo yang ada kegiatan latihan musik dangdut setiap mlm minggu yg menjadi pengaduan masyarakat  TL sdh diarahkan utk berhenti latihannya atau cari lokasi lain yg tepat peruntukan pengembangan bakat seni dan Pemilik / pimpinan Grup musik dangdut bersedia untuk menyetop latihan musiknya utk memberikan kenyamanan masyarakat sekitar.
02,124784,KEMANGGISAN,Kelurahan,Slamat siang. pak tim suksesnya pak ahok dan pak jarot. Sekedar infor mash aja.saya sebagai kepala kluarga. Nama. Wanto.dan sampai saat ini sy blm di data untuk pencoblosan.alamat saya di jakan solaiman slipi jakarta barat.Rt/02/Rw/04.NO.32.dan semua ada 6.orang blm didata. Terimakash.  ,2017-01-26,17:50:53,2017-01-30,10:42:22,2017-02-03,2017-02-09,"Laporan sudah ditindaklanjuti oleh PPS menurut Bapak Suwardi selaku pemilik rumah dialamat tersebut bahwa saudara wanto sudah tidak tinggal dilokasi tersebut dan tinggal di daerah Jombang Jawa Timur, saudara Nanik tinggal di Kebonjeruk "
02,123895,SEMANAN,Lain-lain,Malam. ..mau info..untuk area semanan raya...sebrang terminal kalideres..dkt lurah semanan raya....knp spanduk no 2 gak ada yah? No 1 dan 3 ada.,2017-01-20,9:42:04,2017-01-30,14:08:37,2017-02-08,2017-02-09,SUDAH SELESAI DI TL
02,123896,SEMANAN,Lain-lain,Malam. ..mau info..untuk area semanan raya...sebrang terminal kalideres..dkt lurah semanan raya....knp spanduk no 2 gak ada yah? No 1 dan 3 ada.,2017-01-20,9:42:04,2017-01-30,14:08:37,2017-02-08,2017-02-09,SUDAH SELESAI DI TL
02,123063,JEMBATAN LIMA,Parkir Liar,SLMT SIANG PA GUBERNUR LAPOR PA TOLONG TERTIBIN KAKI 5 SEPANJANG JLN STASIUN ANGKE BIKIN KUMUH,2017-11-01,12:59:20,2017-01-30,14:09:14,2017-02-06,2017-02-09,"Melakukan Penertiban Kaki Lima sepanjang jalan Stasiun Angke dengan Personil Satpol PP, PPSU, Bimas, Babinsa, dan Perangkat Kelurahan"
02,123065,ROA MALAKA,Kelurahan,Siang pa.  lapor. Hanya utk berdagang  dikolong layang pasar pagi asemka dimintain uang sama wakil lurah.   mhn di tindak. Pungli dikolong layang pasar pagi asemka KEL ROA MALAKA kec tambora jakbar ,2017-11-01,14:42:25,2017-01-30,14:11:07,2017-01-02,2017-02-09,Screenshot upaya menghubungi pelapor; Surat Perintah Tugas Nomor SPT. 10/I/X/2016 tanggal 3 Oktober 2016; Surat Inspektur Provinsi DKI Jakarta Nomor 15 / -1.922.3 K3 / 16 tanggal 25 November 2016 perihal Laporan Hasil Pengawasan 
02,123539,KEMBANGAN SELATAN,Sampah,Lapor..ada sampah di tanah kosong..sebelah pos hansip ..blok B 8 jln kembang mulia 1 puri indah. Ada masyarakat yg buang sampah tdk pada tempatnya. Terima ksh.,2017-01-14,15:54:47,2017-01-31,10:16:37,2017-02-03,2017-02-10,Sudah dilakukan pembersihan oleh petugas PPSU 
02,120947,KAPUK,Pelayanan,Pelayanan kelurahan kapuk cengkareng sNgat buruk .,2016-12-30,,2017-01-31,11:19:17,2017-02-03,2017-02-10,"1. 1. Pelapor mengurus surat pindah ke Tangerang
2. 2. Surat pindah sudah jadi dan sudah diambil pada tanggal 3 Januari 2017
"
